CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;COSTO;ESTADO;NOTAS
ACC-ACC-015;ACCESORIOS;"RODILLO BROTHER P/ ADHE DE MAT. AL TAPETE (CABRY1)";Sol Control;ACCESORIOS;USD;15.2;ACTIVO;
CUT-COM-001;CORTADORAS;"SCANNCUT BROTHER SDX225PA";Sol Control;COMERCIAL;USD;496.375;ACTIVO;
CUT-COM-002;CORTADORAS;"SCANCUT SDX125";Sol Control;COMERCIAL;USD;358.34;ACTIVO;
PRENSA-COM-001;PRENSAS;"PRENSA DE CALOR CRICUT TAZA 2008736";Sol Control;COMERCIAL;USD;170.05;ACTIVO;
PRENSA-COM-002;PRENSAS;"PRENSA DE CALOR CRICUT EASYPRESS 2005557";Sol Control;COMERCIAL;USD;150.575;ACTIVO;
PRENSA-COM-003;PRENSAS;"PRENSA DE CALOR CRICUT HAT 2009241";Sol Control;COMERCIAL;USD;142.5;ACTIVO;
PRENSA-COM-004;PRENSAS;"PRENSA DE CALOR CRICUT EASYPRESS 2005553";Sol Control;COMERCIAL;USD;128.725;ACTIVO;
SC-IND-001;SURECOLOR;"SURECOLOR P900";Sol Control;INDUSTRIAL;USD;1577.0;ACTIVO;
SC-IND-002;SURECOLOR;"IMP EPSON SCF1070SE WIF/RED SURECOLOR";Sol Control;INDUSTRIAL;USD;6572.0;ACTIVO;
SC-IND-003;SURECOLOR;"EPSON SURECOLOR P5000 STANDARD EDITION";Sol Control;INDUSTRIAL;USD;2056.49;ACTIVO;
SC-IND-004;SURECOLOR;"EPSON SURECOLOR P7570 STANDARD EDITION";Sol Control;INDUSTRIAL;USD;4616.73;ACTIVO;
SC-IND-005;SURECOLOR;"EPSON SURECOLOR P9570 STANDARD EDITION";Sol Control;INDUSTRIAL;USD;6433.62;ACTIVO;
SC-IND-006;SURECOLOR;"EPSON SURECOLOR P8570D 44 DUAL ROLL";Sol Control;INDUSTRIAL;USD;6038.42;ACTIVO;
SC-IND-007;SURECOLOR;"SURECOLOR P6570E SINGLE ROLL 24";Sol Control;INDUSTRIAL;USD;3711.41;ACTIVO;
SC-IND-008;SURECOLOR;"SURECOLOR P6570DE DUAL ROLL 24";Sol Control;INDUSTRIAL;USD;4525.04;ACTIVO;
SC-IND-009;SURECOLOR;"SURECOLOR P6570D DUAL ROLL 24 PS";Sol Control;INDUSTRIAL;USD;5145.53;ACTIVO;
SC-IND-010;SURECOLOR;"EPSON SURECOLOR P20000 STANDARD EDITION";Sol Control;INDUSTRIAL;USD;11921.63;ACTIVO;
SC-IND-011;SURECOLOR;"EPSON SURECOLOR P8570DL 44 INK BAGS PS";Sol Control;INDUSTRIAL;USD;8265.99;ACTIVO;
SC-IND-012;SURECOLOR;"SURECOLOR S40600 PRODUCTION EDITION";Sol Control;INDUSTRIAL;USD;8390.0;ACTIVO;
SC-IND-013;SURECOLOR;"SURE COLOR S60600L BULK INK SYSTEM";Sol Control;INDUSTRIAL;USD;21979.96;ACTIVO;
SC-IND-014;SURECOLOR;"SURE COLOR S80600L BULK INK SYSTEM";Sol Control;INDUSTRIAL;USD;26413.69;ACTIVO;
SC-IND-015;SURECOLOR;"EPSON SURECOLOR R5070L PRODUCTION EDITION";Sol Control;INDUSTRIAL;USD;24127.91;ACTIVO;
SC-IND-016;SURECOLOR;"EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL";Sol Control;INDUSTRIAL;USD;22929.0;ACTIVO;
SC-IND-017;SURECOLOR;"EPSON SURECOLOR V7000 UV FLATBED";Sol Control;INDUSTRIAL;USD;83580.47;ACTIVO;
SC-IND-018;SURECOLOR;"SC-V7000 LARGE FORMAT INKJET PRINTER";Sol Control;INDUSTRIAL;USD;64356.96;ACTIVO;
SC-ACC-001;SURECOLOR;"HEAD INSTALLATION KIT FOR SC-V7000SERIES";Sol Control;ACCESORIOS;USD;17551.9;ACTIVO;
SC-IND-019;SURECOLOR;"DOCUMENT PACK FOR SC-V7000 SERIES";Sol Control;INDUSTRIAL;USD;1671.6;ACTIVO;
SC-COM-002;SURECOLOR;"SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%";Sol Control;COMERCIAL;USD;8303.0;ACTIVO;
SC-COM-003;SURECOLOR;"SIGNAGE SURECOLOR V1070 A4";Sol Control;COMERCIAL;USD;8000.0;ACTIVO;
SC-COM-004;SURECOLOR;"SIGNAGE SURECOLOR V2070 A3";Sol Control;COMERCIAL;USD;0.0;SIN_PRECIO;
SC-COM-005;SURECOLOR;"SURECOLOR T3170";Sol Control;COMERCIAL;USD;894.83;ACTIVO;
SC-COM-006;SURECOLOR;"SURECOLOR T3170X";Sol Control;COMERCIAL;USD;2098.0;ACTIVO;
SC-COM-007;SURECOLOR;"SURECOLOR T3170M";Sol Control;COMERCIAL;USD;2109.34;ACTIVO;
SC-IND-020;SURECOLOR;"SURECOLOR T3770E SINGLE ROLL 24";Sol Control;INDUSTRIAL;USD;3721.52;ACTIVO;
SC-IND-021;SURECOLOR;"SURECOLOR T3770DE DUAL ROLL 24";Sol Control;INDUSTRIAL;USD;4536.65;ACTIVO;
SC-IND-022;SURECOLOR;"SURECOLOR T3770D DUAL ROLL 24 PS";Sol Control;INDUSTRIAL;USD;5159.54;ACTIVO;
SC-IND-023;SURECOLOR;"SURECOLOR T5170";Sol Control;INDUSTRIAL;USD;2405.53;ACTIVO;
SC-IND-024;SURECOLOR;"SURECOLOR T5170M";Sol Control;INDUSTRIAL;USD;4082.1;ACTIVO;
SC-IND-025;SURECOLOR;"SURECOLOR T7770D 44";Sol Control;INDUSTRIAL;USD;6422.12;ACTIVO;
SC-IND-026;SURECOLOR;"SURECOLOR T7770DL 44 INK BAG PS";Sol Control;INDUSTRIAL;USD;9138.32;ACTIVO;
SC-IND-027;SURECOLOR;"SURECOLOR T5475";Sol Control;INDUSTRIAL;USD;2579.1;ACTIVO;
SC-IND-028;SURECOLOR;"SURECOLOR T5470M";Sol Control;INDUSTRIAL;USD;4628.0;ACTIVO;
SC-IND-029;SURECOLOR;"SURECOLOR T5770D 36";Sol Control;INDUSTRIAL;USD;5539.65;ACTIVO;
SC-IND-030;SURECOLOR;"SURECOLOR T5770DM DUAL ROLL MFP 36";Sol Control;INDUSTRIAL;USD;10189.01;ACTIVO;
TINTA-INS-001;TINTAS/CONSUMIBLES;"ROLLO F570 PAPEL 30 METROS EPSON";Sol Control;INSUMOS;USD;26.6;ACTIVO;
TINTA-INS-002;TINTAS/CONSUMIBLES;"TINTA EPSON F6200, CON IVA";Sol Control;INSUMOS;USD;429.4;ACTIVO;
TINTA-INS-003;TINTAS/CONSUMIBLES;"TINTA EPSON F F6370, F9470 (UNA CAJA 6 UNIDADES) CON IVA";Sol Control;INSUMOS;USD;541.5;ACTIVO;
SC-IND-031;SURECOLOR;"SCG6070SE - G6070 CON IVA";Sol Control;INDUSTRIAL;USD;8629.0;ACTIVO;
SC-IND-032;SURECOLOR;"SCF9570PE - F9570 CON IVA PROMO";Sol Control;INDUSTRIAL;USD;18617.0;ACTIVO;
SC-IND-033;SURECOLOR;"SCF9570PE - F9570 CON IVA";Sol Control;INDUSTRIAL;USD;21701.45;ACTIVO;
SC-IND-034;SURECOLOR;"SCF9570HPE - F9570H SIN IVA";Sol Control;INDUSTRIAL;USD;21717.0;ACTIVO;
SC-IND-035;SURECOLOR;"EPSON SURECOLOR F11070";Sol Control;INDUSTRIAL;USD;101962.0;ACTIVO;
SC-IND-036;SURECOLOR;"EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES";Sol Control;INDUSTRIAL;USD;83982.54;ACTIVO;
PRENSA-COM-005;PRENSAS;"PRENSA TERMICA 60X40";Todo Costura;COMERCIAL;GS;2000000.0;ACTIVO;
PRENSA-COM-006;PRENSAS;"PRENSA TERMICA 38X38";Todo Costura;COMERCIAL;GS;1300000.0;ACTIVO;
GRAB-COM-001;GRABADORAS LASER;"GRABADORA LASER 10W";Todo Costura;COMERCIAL;GS;4800000.0;ACTIVO;
ACC-COM-001;ACCESORIOS;"EJE ROTATIVO ESTÁNDAR";Todo Costura;COMERCIAL;GS;700000.0;ACTIVO;
GRAB-COM-002;GRABADORAS LASER;"GRABADORA LASER 10W";Todo Costura;COMERCIAL;GS;3000000.0;ACTIVO;
ACC-ACC-016;ACCESORIOS;"PATITAS BASE";Todo Costura;ACCESORIOS;GS;200000.0;ACTIVO;
ACC-ACC-017;ACCESORIOS;"COMPRESOR DE AIRE";Todo Costura;ACCESORIOS;GS;450000.0;ACTIVO;
