Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
"SURE COLOR S60600L BULK INK SYSTEM",SC-059,SOLPRO,INDUSTRIAL,2197996,USD,25
"SURE COLOR S80600L BULK INK SYSTEM",SC-060,SOLPRO,INDUSTRIAL,2641369,USD,25
"EPSON SURECOLOR R5070L PRODUCTION EDITION",SC-061,SOLPRO,INDUSTRIAL,2412791,USD,25
"EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL",SC-062,SOLPRO,INDUSTRIAL,229290,USD,25
"EPSON SURECOLOR V7000 UV FLATBED",SC-063,SOLPRO,INDUSTRIAL,8358047,USD,25
"SC-V7000 LARGE FORMAT INKJET PRINTER",SC-064,SOLPRO,INDUSTRIAL,6435696,USD,25
"HEAD INSTALLATION KIT FOR SC-V7000SERIES",SC-065,SOLPRO,ACCESORIOS,175519,USD,25
"DOCUMENT PACK FOR SC-V7000 SERIES",SC-066,SOLPRO,INDUSTRIAL,16716,USD,25
"SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%",SC-067,SOLPRO,COMERCIAL,83030,USD,25
"SIGNAGE SURECOLOR V1070 A4",SC-068,SOLPRO,COMERCIAL,80000,USD,25
"SIGNAGE SURECOLOR V2070 A3",SC-069,SOLPRO,COMERCIAL,0,USD,25
"SURECOLOR T3170",SC-070,SOLPRO,COMERCIAL,89483,USD,25
"SURECOLOR T3170X",SC-071,SOLPRO,COMERCIAL,20980,USD,25
"SURECOLOR T3170M",SC-072,SOLPRO,COMERCIAL,210934,USD,25
"SURECOLOR T3770E SINGLE ROLL 24",SC-073,SOLPRO,INDUSTRIAL,372152,USD,25
"SURECOLOR T3770DE DUAL ROLL 24",SC-074,SOLPRO,INDUSTRIAL,453665,USD,25
"SURECOLOR T3770D DUAL ROLL 24 PS",SC-075,SOLPRO,INDUSTRIAL,515954,USD,25
"SURECOLOR T5170",SC-076,SOLPRO,INDUSTRIAL,240553,USD,25
"SURECOLOR T5170M",SC-077,SOLPRO,INDUSTRIAL,40821,USD,25
"SURECOLOR T7770D 44",SC-078,SOLPRO,INDUSTRIAL,642212,USD,25
"SURECOLOR T7770DL 44 INK BAG PS",SC-079,SOLPRO,INDUSTRIAL,913832,USD,25
"SURECOLOR T5475",SC-080,SOLPRO,INDUSTRIAL,25791,USD,25
"SURECOLOR T5470M",SC-081,SOLPRO,INDUSTRIAL,46280,USD,25
"SURECOLOR T5770D 36",SC-082,SOLPRO,INDUSTRIAL,553965,USD,25
"SURECOLOR T5770DM DUAL ROLL MFP 36",SC-083,SOLPRO,INDUSTRIAL,1018901,USD,25
"SCT5475SR SURECOLOR 36",SC-084,SOLPRO,INDUSTRIAL,26320,USD,25
"SURECOLOR F570",SC-085,SOLPRO,INDUSTRIAL,205559,USD,25
"SURECOLOR F1070",SC-086,SOLPRO,COMERCIAL,65711,USD,25
"SURECOLOR F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA",SC-088,SOLPRO,INDUSTRIAL,59000,USD,25
"SURECOLOR F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK)",SC-089,SOLPRO,INDUSTRIAL,71760,USD,25
"SURECOLOR F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK)",SC-090,SOLPRO,INDUSTRIAL,720009,USD,25
"KIT INICIACION F6470",SC-091,SOLPRO,INSUMOS,5026,USD,25
"SURECOLOR F6470 IVA Y KIT",SC-092,SOLPRO,INDUSTRIAL,77027,USD,25
"F6470 + KIT SIN IVA",SC-093,SOLPRO,INDUSTRIAL,73520,USD,25
"SURECOLOR F3070 BASE UNIT",SC-094,SOLPRO,INDUSTRIAL,5397654,USD,25
"SURECOLOR F9470 PRODUCTION EDITION",SC-095,SOLPRO,INDUSTRIAL,210900,USD,25
"SURECOLOR F9470 PRODUCTION EDITION",SC-096,SOLPRO,INDUSTRIAL,2443716,USD,25
"SCF9570PE - F9570 CON IVA",SC-097,SOLPRO,INDUSTRIAL,236743,USD,25
"SCF9570HPE - F9570H CON IVA",SC-098,SOLPRO,INDUSTRIAL,2369127,USD,25
"SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA",SC-099,SOLPRO,INDUSTRIAL,8688166,USD,25
"SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM",SC-100,SOLPRO,INDUSTRIAL,1150704,USD,25
"SURECOLOR F2270 DIRECT TO GARMENT",SC-101,SOLPRO,INDUSTRIAL,1457425,USD,25
"TINTA F6470 POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR",SC-102,SOLPRO,INSUMOS,22705,USD,25
"CAJA F170 DE MANTENIMIENTO",SC-103,SOLPRO,INSUMOS,210,USD,25
"CAJA F570 DE MANTENIMIENTO",SC-104,SOLPRO,INSUMOS,400,USD,25
"TINTA F170 O F570 DE 140ML COLORES CY MG YE (CADA UNO) BOTELLITA",SC-105,SOLPRO,INSUMOS,185,USD,25
"ROLLO F570 PAPEL 30 METROS EPSON",SC-106,SOLPRO,INSUMOS,266,USD,25
"TINTA EPSON F6200 CON IVA",SC-107,SOLPRO,INSUMOS,4294,USD,25
"TINTA EPSON F F6370 F9470 (UNA CAJA 6 UNIDADES) CON IVA",SC-108,SOLPRO,INSUMOS,5415,USD,25
"SCG6070SE - G6070 CON IVA",SC-109,SOLPRO,INDUSTRIAL,86290,USD,25
"SCF9570PE - F9570 CON IVA PROMO",SC-110,SOLPRO,INDUSTRIAL,186170,USD,25
"SCF9570PE - F9570 CON IVA",SC-112,SOLPRO,INDUSTRIAL,2170145,USD,25
"SCF9570HPE - F9570H SIN IVA",SC-113,SOLPRO,INDUSTRIAL,217170,USD,25
"EPSON SURECOLOR F11070",SC-114,SOLPRO,INDUSTRIAL,1019620,USD,25
"EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES",SC-115,SOLPRO,INDUSTRIAL,8398254,USD,25
"PRENSA TERMICA 60X40",TC-001,SOLPRO,COMERCIAL,20000000,GS,25
"PRENSA TERMICA 38X38",TC-002,SOLPRO,COMERCIAL,13000000,GS,25
"GRABADORA LASER 10W",TC-003,SOLPRO,COMERCIAL,48000000,GS,25
"EJE ROTATIVO ESTANDAR",TC-004,SOLPRO,COMERCIAL,7000000,GS,25
"GRABADORA LASER 20W",TC-005,SOLPRO,COMERCIAL,48000000,GS,25
"PATITAS BASE",TC-006,SOLPRO,ACCESORIOS,2000000,GS,25
"COMPRESOR DE AIRE",TC-007,SOLPRO,ACCESORIOS,4500000,GS,25
"PRENSA TAZA COMUN 11 OZ",TC-009,SOLPRO,COMERCIAL,4400000,GS,25
"TRANSFER TAZAS DOBLE",TC-010,SOLPRO,COMERCIAL,9950000,GS,25
"EJE ROTATIVO PRO",TC-011,SOLPRO,ACCESORIOS,12500000,GS,25
"PRENSA 8 EN 1",TC-012,SOLPRO,COMERCIAL,19000000,GS,25
"PRENSA 11 EN 1",TC-013,SOLPRO,COMERCIAL,29000000,GS,25
"PRENSA 15 EN 1",TC-014,SOLPRO,COMERCIAL,34000000,GS,25
"PRENSA 6 EN 1",TC-015,SOLPRO,COMERCIAL,17500000,GS,25
"PRENSA BOLIGRAFOS",TC-016,SOLPRO,COMERCIAL,11900000,GS,25
"TINTA LITRO SUBLI CY MG YE",TC-017,SOLPRO,INSUMOS,1800000,GS,25
"TINTA LITRO SUBLI BK",TC-018,SOLPRO,INSUMOS,2250000,GS,25
"RESMA DE PAPEL A4",TC-019,SOLPRO,INSUMOS,300000,GS,25
"RESMA DE PAPEL A4 PREMIUM",TC-020,SOLPRO,INSUMOS,900000,GS,25
"HORNO DTF A3",TC-021,SOLPRO,COMERCIAL,33000000,GS,25
"CAMEO 5",TC-022,SOLPRO,COMERCIAL,24500000,GS,25
"DTF 60CM 100 METROS",TC-024,SOLPRO,INSUMOS,13000000,GS,25
"POLVO DTF KILO",TC-025,SOLPRO,INSUMOS,2350000,GS,25
"BORDADORA JANOME MC400E",TC-026,SOLPRO,COMERCIAL,86000000,GS,25
"BORDADORA JANOME MC500E",TC-027,SOLPRO,COMERCIAL,99000000,GS,25
"BORDADORA JANOME MC550E",TC-028,SOLPRO,COMERCIAL,109000000,GS,25
"BORDADORA JANOME MB7",TC-029,SOLPRO,COMERCIAL,395000000,GS,25
"BORDADORA INDUSTRIAL WILPEX WP121C",TC-030,SOLPRO,INDUSTRIAL,355000000,GS,25
"OVERLOCK FLIAR WILPEX WP334",TC-031,SOLPRO,COMERCIAL,18265000,GS,25
"COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR",TC-032,SOLPRO,COMERCIAL,27300000,GS,25
"CAMEO 15 PULGADAS",TC-034,SOLPRO,COMERCIAL,36000000,GS,25
"CAMEO 24 PULGADAS",TC-035,SOLPRO,COMERCIAL,45000000,GS,25
"CORTADORA DE PLOTTER WILPPEX 75CM",TC-036,SOLPRO,COMERCIAL,32000000,GS,25
"PRENSA TAZAS DOBLE",TC-037,SOLPRO,COMERCIAL,9950000,GS,25
"PRENSA TAZAS 5 EN 1",TC-038,SOLPRO,COMERCIAL,27000000,GS,25
"BORDADORA WILPEX IND 15 AGUJAS SMART",TC-039,SOLPRO,INDUSTRIAL,360000000,GS,25
"PRENSA MANUAL 100X80",TC-040,SOLPRO,INDUSTRIAL,127500000,GS,25
"DOBLE BANDEJA",TC-041,SOLPRO,INDUSTRIAL,305000000,GS,25
"CALANDRA 1.7 ROLLO A ROLLO",TC-042,SOLPRO,INDUSTRIAL,810000000,GS,25
"CALANDRA 1.8",TC-043,SOLPRO,INDUSTRIAL,300000000,GS,25
"MAQUINA DE COSER RECTA IND WILPEX",TC-045,SOLPRO,INDUSTRIAL,21200000,GS,25
"MAQUINA DE COSER OVERLOCK IND WILPEX",TC-046,SOLPRO,INDUSTRIAL,32000000,GS,25
"MAQUINA DE COSER COLLARETA IND WILPEX",TC-047,SOLPRO,INDUSTRIAL,41000000,GS,25
