ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
SC-013;COMERCIAL;IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3;Gs. 8.790.000;Gs. 9.190.000
SC-014;COMERCIAL;IMP EPSON L 8050 FOTOGRAFICA/CD WIR;Gs. 3.290.000;Gs. 3.490.000
SC-015;COMERCIAL;IMP EPSON L8180 MULTIFUNCION A3 WIR;Gs. 7.690.000;Gs. 8.090.000
SC-016;ACCESORIOS;ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL;Gs. 3.390.000;Gs. 3.590.000
SC-017;ACCESORIOS;BASTIDOR BROTHER PRH100 10X10CM;Gs. 279.000;Gs. 299.000
SC-018;ACCESORIOS;BASTIDOR BROTHER PRH180 18X13CM;Gs. 279.000;Gs. 299.000
SC-019;ACCESORIOS;BASTIDOR BROTHER PRH300 20X30CM;Gs. 399.000;Gs. 419.000
SC-020;ACCESORIOS;BASTIDOR BROTHER PRH60 6X4CM;Gs. 199.000;Gs. 209.000
SC-021;COMERCIAL;BORDADORA BROTHER BP1530LPA 26 X 16CM;Gs. 9.590.000;Gs. 9.990.000
SC-022;COMERCIAL;BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10;Gs. 5.290.000;Gs. 5.590.000
SC-023;COMERCIAL;BORDADORA BROTHER PE910LPA 18 X 13CM;Gs. 6.490.000;Gs. 6.790.000
SC-024;COMBO COMERCIAL;BORDADORA BROTHER PR680WPA 30 X 20CM COMBO;Gs. 9.000;Gs. 9.000
SC-025;COMERCIAL;BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL;Gs. 52.390.000;Gs. 54.590.000
SC-026;COMERCIAL;MAQUINA DE COSER BROTHER BM2800PA;Gs. 1.490.000;Gs. 1.590.000
SC-027;COMERCIAL;MAQUINA DE COSER BROTHER BM3850PA;Gs. 1.890.000;Gs. 1.990.000
SC-028;COMERCIAL;MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA;Gs. 1.290.000;Gs. 1.390.000
SC-029;COMERCIAL;MAQUINA DE COSER BROTHER SQ9100PA;Gs. 2.990.000;Gs. 3.190.000
SC-030;COMERCIAL;OVERLOCK BROTHER 3534DTPA;Gs. 2.990.000;Gs. 3.190.000
SC-031;ACCESORIOS;SOFTWARE BROTHER PEDESIGN11L;Gs. 5.990.000;Gs. 6.290.000
