Fecha Emision;Cantidad;Descripcion;Articulo Proveedor
16-abr-24;1;IMP EPSON  T 3170SR WIF SURECOLOR;SCT3170SR
25-abr-24;1;IMP EPSON  T 3170SR WIF SURECOLOR;SCT3170SR
17-mar-25;1;IMP EPSON  T 3170SR WIF SURECOLOR;SCT3170SR
17-mar-25;1;IMP EPSON  T 3170SR WIF SURECOLOR;SCT3170SR
24-ene-24;1;IMP EPSON  T 3170X WIF SURECOLOR ;SCT3170X
12-dic-24;1;IMP EPSON  T 3170X WIF SURECOLOR ;SCT3170X
16-feb-24;1;IMP EPSON  T 3170X WIF SURECOLOR ;SCT3170X
27-dic-24;1;IMP EPSON LX-350 (220 V);C11CC24011
19-nov-24;1;IMP EPSON PLOTER SCF10070LA SURECOLOR ;SCF10070LA
15-nov-24;1;IMP EPSON PLOTER SCF2100WE SURECOLOR ;
19-jun-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
16-jul-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
09-ago-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
20-sept-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
01-oct-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
07-oct-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
12-dic-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
03-abr-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
11-abr-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
26-jun-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
09-jul-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
12-jul-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
12-ago-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
04-sept-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
18-oct-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
11-nov-24;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
08-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
20-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
25-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
27-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
28-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
03-sept-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
04-sept-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
10-oct-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
31-oct-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
03-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
06-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
11-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
15-dic-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
19-feb-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
04-mar-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
26-mar-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
08-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
20-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
25-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
27-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
28-ago-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
03-sept-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
04-sept-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
10-oct-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
31-oct-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
03-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
06-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
11-nov-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
15-dic-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
19-feb-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
04-mar-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
26-mar-25;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
20-ene-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
16-feb-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
26-feb-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
10-mar-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
26-mar-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
30-mar-26;1;IMP EPSON PLOTER SCF6470PE SE ;SCF6470PE
11-abr-24;1;IMP EPSON PLOTER SCF9470PE SURECOLOR;SCF9470PE
17-sept-25;1;IMP EPSON PLOTER SCF9470PE SURECOLOR;SCF9470PE
17-sept-25;1;IMP EPSON PLOTER SCF9470PE SURECOLOR;SCF9470PE
30-ene-26;1;IMP EPSON PLOTER SCF9570PE SURECOLOR ;SCF9570PE
12-dic-24;1;IMP EPSON PLOTER SCS40600PE PRODUCCION S/ TINTAS;SCS40600PE
21-mar-25;1;IMP EPSON PLOTER SCS40600PE PRODUCCION S/ TINTAS;SCS40600PE
21-mar-25;1;IMP EPSON PLOTER SCS40600PE PRODUCCION S/ TINTAS;SCS40600PE
13-jun-24;1;IMP EPSON PLOTER F6470H FLUOR ;SCF6470HPE
04-nov-25;1;IMP EPSON PLOTER F6470H FLUOR ;SCF6470HPE
04-nov-25;1;IMP EPSON PLOTER F6470H FLUOR ;SCF6470HPE
