Fecha Emision;Cantidad;Descripcion;Articulo Proveedor
06-ago-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
11-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
14-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
27-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
18-mar-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
21-ene-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
18-mar-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
29-abr-25;2;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
23-jul-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
06-ago-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
11-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
14-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
27-nov-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
18-mar-25;1;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);C13S210057
25-sept-24;1;KIT EP MANTENIMIENTO C13S210063 F6370/F93;C13S210063
19-may-25;1;KIT EP MANTENIMIENTO C13S210063 F6370/F93;C13S210063
19-may-25;1;KIT EP MANTENIMIENTO C13S210063 F6370/F93;C13S210063
30-ene-24;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
20-mar-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
03-may-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
08-jul-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
24-jul-24;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
02-ago-24;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
13-ago-24;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
17-sept-24;1;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
19-sept-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
28-feb-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
01-oct-24;1;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
23-oct-24;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
02-dic-24;6;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
16-dic-24;10;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
31-ene-25;4;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
11-feb-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
13-mar-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
25-mar-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
25-jul-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
11-ago-25;2;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
08-sept-25;1;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
08-ene-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
23-ene-25;2;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
04-feb-25;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
29-may-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
31-ene-25;4;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
11-feb-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
13-mar-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
25-mar-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
25-jul-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
11-ago-25;2;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
08-sept-25;1;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
08-ene-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
23-ene-25;2;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
04-feb-25;3;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
29-may-25;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
20-ene-26;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
19-feb-26;5;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
13-mar-26;10;KIT EP MANTENIMIENTO C13S210125 SC-F170;C13S210125
07-nov-25;1;KIT EP MANTENIMIENTO C13S210144 (SC-F1070);C13S210144
07-nov-25;1;KIT EP MANTENIMIENTO C13S210144 (SC-F1070);C13S210144
02-may-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
19-jun-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
07-ago-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
13-nov-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
30-ene-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
01-abr-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
21-may-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
02-may-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
19-jun-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
07-ago-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
13-nov-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
30-ene-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
01-abr-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
21-may-25;1;KIT EP MANTENIMIENTO C13S400215 SCF1070;C13S400215
18-ago-25;1;KIT EP MANTENIMIENTO FC-2200 (C13S400216);C13S400216
18-ago-25;1;KIT EP MANTENIMIENTO FC-2200 (C13S400216);C13S400216
26-ago-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
11-nov-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
23-dic-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
23-may-25;2;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
26-ago-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
11-nov-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
23-dic-25;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
23-may-25;2;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
13-mar-26;1;KIT EP MANTENIMIENTO SCF2270  LIQUID PACK 800ml T5;T54KB20
10-may-24;1;KIT EP MANTENIMIENTO T04D100/L14150;T04D100
08-jul-24;1;KIT EP MANTENIMIENTO T04D100/L14150;T04D100
17-sept-24;1;KIT EP MANTENIMIENTO T04D100/L14150;T04D100
23-feb-24;10;KIT EP MANTENIMIENTO T699700 P9000 TANQUE;T699700
10-dic-24;4;KIT EP MANTENIMIENTO T699700 P9000 TANQUE;T699700
22-ene-24;4;KIT EP SERIES AD CLEANING CARTRIDGE (T696000);T696000
14-ago-24;4;KIT EP SERIES AD CLEANING CARTRIDGE (T696000);T696000
13-ago-24;1;KIT EP WIPER C13S210044  S40600;C13S210044
09-ene-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
30-jul-24;2;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
19-sept-24;2;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
20-nov-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
04-dic-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
30-abr-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
06-jun-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
14-ago-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
25-sept-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
28-oct-24;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
21-abr-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
11-nov-25;2;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
01-dic-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
05-jun-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
21-jul-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
21-abr-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
11-nov-25;2;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
01-dic-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
05-jun-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
21-jul-25;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
09-feb-26;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
19-feb-26;1;KIT EP WIPER C13S210051 F9370 HEAD CLEANING;C13S210051
12-may-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
29-ago-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
28-oct-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
05-dic-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
18-jul-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
12-may-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
29-ago-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
28-oct-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
05-dic-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
18-jul-25;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
12-ene-26;1;KIT EP WIPER C13S210065 REPLACEMENT ROLL F10070;C13S2100065
10-mar-25;1;KIT EP WIPER C13S210142 SCF1070;C13S210142
10-mar-25;1;KIT EP WIPER C13S210142 SCF1070;C13S210142
13-jun-25;1;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;S450253
03-oct-25;1;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;S450253
13-jun-25;1;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;S450253
03-oct-25;1;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;S450253
01-jul-24;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
13-ago-24;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
28-abr-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
14-jul-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
17-sept-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
01-oct-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
28-abr-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
14-jul-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
17-sept-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
01-oct-25;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
02-feb-26;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
10-feb-26;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
25-feb-26;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
06-mar-26;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
06-mar-26;1;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
13-mar-26;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
16-mar-26;4;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
20-mar-26;2;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";S450360
28-feb-25;1;PROMO EPSON L 3250 MULTIFUN WIR+TINTA T544120 NE;C11CJ67304
28-feb-25;1;PROMO EPSON L 3250 MULTIFUN WIR+TINTA T544120 NE;C11CJ67304
26-ago-24;1;REP EP INK SUPPLY TANK SUB 44650 (1802353);1802353
26-ago-24;1;REP EP INK SUPPLY TANK SUB 642C0 1676926;
30-abr-24;2;REP EP PRINT HEAD FA25011;FA25011
25-sept-24;1;REP EP PRINT HEAD IC856V-3 (FA10031);FA10031
08-ene-25;1;REP EP SURECOLOR R5070L MEDIA SPACER(C12C937271;C12C937271
08-ene-25;1;REP EP SURECOLOR R5070L MEDIA SPACER(C12C937271;C12C937271
24-jun-24;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
09-ago-24;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
07-oct-24;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
26-jun-24;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
04-nov-25;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
04-nov-25;1;TINTA EP DE INICIACION DS T53KM20 (SCF6470PE);T53KM20
23-ene-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
30-ene-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
13-feb-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
10-mar-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
12-mar-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
21-mar-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
09-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
10-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
11-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
02-may-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
20-may-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
11-ago-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
29-ago-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
22-oct-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
12-nov-25;3;TINTA EP F10070 T43M120 NEGRO;T43M120
27-nov-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
05-dic-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
16-dic-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
26-may-25;4;TINTA EP F10070 T43M120 NEGRO;T43M120
03-jun-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
17-jun-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
03-jul-25;6;TINTA EP F10070 T43M120 NEGRO;T43M120
23-ene-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
30-ene-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
13-feb-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
10-mar-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
12-mar-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
21-mar-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
09-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
10-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
11-abr-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
02-may-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
20-may-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
11-ago-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
29-ago-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
22-oct-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
12-nov-25;3;TINTA EP F10070 T43M120 NEGRO;T43M120
27-nov-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
05-dic-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
16-dic-25;2;TINTA EP F10070 T43M120 NEGRO;T43M120
26-may-25;4;TINTA EP F10070 T43M120 NEGRO;T43M120
03-jun-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
17-jun-25;1;TINTA EP F10070 T43M120 NEGRO;T43M120
03-jul-25;6;TINTA EP F10070 T43M120 NEGRO;T43M120
05-ene-26;1;TINTA EP F10070 T43M120 NEGRO;T43M120
28-ene-26;2;TINTA EP F10070 T43M120 NEGRO;T43M120
19-feb-26;1;TINTA EP F10070 T43M120 NEGRO;T43M120
12-mar-26;2;TINTA EP F10070 T43M120 NEGRO;T43M120
25-mar-26;1;TINTA EP F10070 T43M120 NEGRO;T43M120
21-feb-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
04-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
05-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
10-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
12-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
14-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
19-mar-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
21-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
16-abr-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
23-abr-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
20-may-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
01-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
11-ago-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
19-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
21-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
29-ago-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
10-sept-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
02-oct-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
09-oct-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
22-oct-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
12-nov-25;3;TINTA EP F10070 T43M220 CYAN;T43M220
14-nov-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
21-nov-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
27-nov-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
16-dic-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
03-jun-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
03-jul-25;6;TINTA EP F10070 T43M220 CYAN;T43M220
16-jul-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
18-jul-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
21-feb-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
04-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
05-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
10-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
12-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
14-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
19-mar-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
21-mar-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
16-abr-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
23-abr-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
20-may-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
01-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
11-ago-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
19-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
21-ago-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
29-ago-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
10-sept-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
02-oct-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
09-oct-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
22-oct-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
12-nov-25;3;TINTA EP F10070 T43M220 CYAN;T43M220
14-nov-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
21-nov-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
27-nov-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
16-dic-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
03-jun-25;2;TINTA EP F10070 T43M220 CYAN;T43M220
03-jul-25;6;TINTA EP F10070 T43M220 CYAN;T43M220
16-jul-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
18-jul-25;1;TINTA EP F10070 T43M220 CYAN;T43M220
05-ene-26;1;TINTA EP F10070 T43M220 CYAN;T43M220
08-ene-26;2;TINTA EP F10070 T43M220 CYAN;T43M220
12-ene-26;2;TINTA EP F10070 T43M220 CYAN;T43M220
28-ene-26;3;TINTA EP F10070 T43M220 CYAN;T43M220
19-feb-26;3;TINTA EP F10070 T43M220 CYAN;T43M220
26-feb-26;3;TINTA EP F10070 T43M220 CYAN;T43M220
06-mar-26;1;TINTA EP F10070 T43M220 CYAN;T43M220
12-mar-26;2;TINTA EP F10070 T43M220 CYAN;T43M220
30-mar-26;1;TINTA EP F10070 T43M220 CYAN;T43M220
23-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
29-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
30-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
13-feb-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-mar-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
14-mar-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
09-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
11-abr-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
02-may-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
20-may-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
01-ago-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
21-ago-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
29-ago-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-sept-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
22-sept-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
02-oct-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
09-oct-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
22-oct-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
12-nov-25;3;TINTA EP F10070 T43M320 MAGENTA;T43M320
27-nov-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
05-dic-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-dic-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
03-jul-25;6;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-jul-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
23-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
29-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
30-ene-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
13-feb-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-mar-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
14-mar-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
09-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
11-abr-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-abr-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
02-may-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
20-may-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
01-ago-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
21-ago-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
29-ago-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
10-sept-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
22-sept-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
02-oct-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
09-oct-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
22-oct-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
12-nov-25;3;TINTA EP F10070 T43M320 MAGENTA;T43M320
27-nov-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
05-dic-25;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-dic-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
03-jul-25;6;TINTA EP F10070 T43M320 MAGENTA;T43M320
16-jul-25;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
22-ene-26;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
28-ene-26;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
19-feb-26;2;TINTA EP F10070 T43M320 MAGENTA;T43M320
06-mar-26;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
12-mar-26;3;TINTA EP F10070 T43M320 MAGENTA;T43M320
31-mar-26;1;TINTA EP F10070 T43M320 MAGENTA;T43M320
23-ene-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
29-ene-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
13-feb-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
14-mar-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
21-mar-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
26-mar-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
16-abr-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
20-may-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
11-ago-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
21-ago-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
29-ago-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
22-sept-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
09-oct-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
22-oct-25;3;TINTA EP F10070 T43M420 YELLOW;T43M420
12-nov-25;3;TINTA EP F10070 T43M420 YELLOW;T43M420
21-nov-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
27-nov-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
05-dic-25;1;TINTA EP F10070 T43M420 YELLOW;T43M420
16-dic-25;2;TINTA EP F10070 T43M420 YELLOW;T43M420
