CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;P_CONTADO;P_DIGITAL_QR;ESTADO;NOTAS
TINTA-INS-014;TINTAS/CONSUMIBLES;TINTA LITRO SUBLIMACION BLACK;Todo Costura;INSUMOS;GS;0;0;SIN_PRECIO;
TINTA-INS-015;TINTAS/CONSUMIBLES;CAJA MANTENIMIENTO F170;Sol Control;INSUMOS;GS;0;0;SIN_PRECIO;
TINTA-INS-016;TINTAS/CONSUMIBLES;CAJA MANTENIMIENTO F570;Sol Control;INSUMOS;GS;0;0;SIN_PRECIO;
TINTA-INS-017;TINTAS/CONSUMIBLES;KIT INICIACION F6470;Sol Control;INSUMOS;GS;0;0;SIN_PRECIO;
BRD-COM-001;BORDADORAS;BORDADORA BROTHER BP1530LPA 26X16CM;Sol Control;COMERCIAL;GS;10190000;10590000;ACTIVO;
BRD-COM-002;BORDADORAS;BORDADORA BROTHER NV970LPA 2EN1 BORDA Y COSE;Sol Control;COMERCIAL;GS;5490000;5690000;ACTIVO;
BRD-COM-003;BORDADORAS;BORDADORA BROTHER PE910LPA 18X13CM;Sol Control;COMERCIAL;GS;6490000;6790000;ACTIVO;
BRD-COM-004;BORDADORAS;BORDADORA BROTHER PR680WPA 30X20CM COMBO;Sol Control;COMERCIAL;GS;62690000;65190000;ACTIVO;
BRD-COM-005;BORDADORAS;BORDADORA BROTHER PR680WPA 30X20CM NORMAL;Sol Control;COMERCIAL;GS;55190000;57390000;ACTIVO;
BRD-COM-006;BORDADORAS;MAQUINA DE COSER BROTHER BM2800PA;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-007;BORDADORAS;MAQUINA DE COSER BROTHER BM3850PA;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-008;BORDADORAS;MAQUINA DE COSER BROTHER JS2135PA MECANICA;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-009;BORDADORAS;MAQUINA DE COSER BROTHER SQ9100PA;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-010;BORDADORAS;OVERLOCK BROTHER 3534DTPA;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-011;BORDADORAS;SOFTWARE BROTHER PEDESIGN11L;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-012;BORDADORAS;BORDADORA JANOME MC400E;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-013;BORDADORAS;BORDADORA JANOME MC500E;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-014;BORDADORAS;BORDADORA JANOME MC550E;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-015;BORDADORAS;BORDADORA JANOME MB7;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-016;BORDADORAS;BORDADORA INDUSTRIAL WILPEX WP121C;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
BRD-COM-017;BORDADORAS;BORDADORA WILPEX INDUSTRIAL 15 AGUJAS SMART;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
CUT-COM-001;CORTADORAS;SCANNCUT BROTHER SDX225PA;Sol Control;COMERCIAL;GS;3990000;4190000;ACTIVO;
CUT-COM-002;CORTADORAS;SCANCUT SDX125;Sol Control;COMERCIAL;GS;2990000;3090000;ACTIVO;
CUT-COM-003;CORTADORAS;CAMEO 5;Todo Costura;COMERCIAL;GS;2990000;3190000;ACTIVO;
CUT-COM-004;CORTADORAS;CAMEO PLUS;Todo Costura;COMERCIAL;GS;4290000;4490000;ACTIVO;
CUT-COM-005;CORTADORAS;CAMEO 15 PULGADAS;Todo Costura;COMERCIAL;GS;4690000;4890000;ACTIVO;
CUT-COM-006;CORTADORAS;CAMEO 24 PULGADAS;Todo Costura;COMERCIAL;GS;5890000;6090000;ACTIVO;
CUT-COM-007;CORTADORAS;CORTADORA DE PLOTTER WILPEX 75CM;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-001;PRENSAS;PRENSA TERMICA 60X40;Todo Costura;COMERCIAL;GS;2690000;2790000;ACTIVO;
PRENSA-COM-002;PRENSAS;PRENSA TERMICA 38X38;Todo Costura;COMERCIAL;GS;1590000;1690000;ACTIVO;
PRENSA-COM-003;PRENSAS;PRENSA 8 EN 1;Todo Costura;COMERCIAL;GS;2490000;2590000;ACTIVO;
PRENSA-COM-004;PRENSAS;PRENSA 11 EN 1;Todo Costura;COMERCIAL;GS;3790000;3890000;ACTIVO;
PRENSA-COM-005;PRENSAS;PRENSA 15 EN 1;Todo Costura;COMERCIAL;GS;4390000;4590000;ACTIVO;
PRENSA-COM-006;PRENSAS;PRENSA 6 EN 1;Todo Costura;COMERCIAL;GS;2290000;2390000;ACTIVO;
PRENSA-COM-007;PRENSAS;PRENSA TAZA COMUN 11 OZ;Todo Costura;COMERCIAL;GS;590000;690000;ACTIVO;
PRENSA-COM-008;PRENSAS;PRENSA TAZAS DOBLE;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-009;PRENSAS;PRENSA TAZAS 5 EN 1;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-010;PRENSAS;TRANSFER TAZAS DOBLE;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-011;PRENSAS;PRENSA DE CALOR CRICUT TAZA 2008736;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-012;PRENSAS;PRENSA DE CALOR CRICUT EASYPRESS 2005557;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-013;PRENSAS;PRENSA DE CALOR CRICUT HAT 2009241;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-COM-014;PRENSAS;PRENSA DE CALOR CRICUT EASYPRESS 2005553;Sol Control;COMERCIAL;GS;0;0;SIN_PRECIO;
PRENSA-IND-001;PRENSAS;PRENSA MANUAL 100X80;Todo Costura;INDUSTRIAL;USD;2490;2590;ACTIVO;
PRENSA-IND-002;PRENSAS;CALANDRA 1.7 ROLLO A ROLLO;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
PRENSA-IND-003;PRENSAS;CALANDRA 1.8;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
GRAB-COM-001;GRABADORAS LASER;GRABADORA LASER 10W;Todo Costura;COMERCIAL;GS;3790000;3890000;ACTIVO;
GRAB-IND-001;GRABADORAS LASER;GRABADORA LASER 10W INDUSTRIAL;Todo Costura;INDUSTRIAL;GS;3890000;4090000;ACTIVO;
GRAB-IND-002;GRABADORAS LASER;GRABADORA LASER 20W;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
DTF-IND-001;EQUIPOS DTF;HORNO DTF A3;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
DTF-IND-002;EQUIPOS DTF;HORNO TUCANO DTF 90CM FOB;Importacion SOLPRO;INDUSTRIAL;USD;0;0;SIN_PRECIO;
DTF-IND-003;EQUIPOS DTF;DTF 60CM TRANSFER FILM 100 METROS;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
DTF-IND-004;EQUIPOS DTF;POLVO DTF KILO;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
DTF-IND-005;EQUIPOS DTF;EPSON F570 + PRENSA 100X80 + MULTI + OVERLOCK + COLLARETA;Todo Costura;INDUSTRIAL;GS;0;0;SIN_PRECIO;
ACC-ACC-001;ACCESORIOS;EJE ROTATIVO ESTANDAR;Todo Costura;ACCESORIOS;GS;890000;990000;ACTIVO;
ACC-ACC-002;ACCESORIOS;EJE ROTATIVO PRO;Todo Costura;ACCESORIOS;GS;0;0;SIN_PRECIO;
