CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
SC-044,PRENSA DE CALOR CRICUT EASYPRESS 2005557,IMPRESORAS,COMERCIAL,Sol Control,USD,150.575,ACTIVO,
SC-045,PRENSA DE CALOR CRICUT HAT 2009241,IMPRESORAS,COMERCIAL,Sol Control,USD,142.5,ACTIVO,
SC-046,PRENSA DE CALOR CRICUT EASYPRESS 2005553,IMPRESORAS,COMERCIAL,Sol Control,USD,128.725,ACTIVO,
SC-047,SURECOLOR P900,SURECOLOR,INDUSTRIAL,Sol Control,USD,1577.0,ACTIVO,
SC-048,IMP EPSON SCF1070SE WIF/RED SURECOLOR,SURECOLOR,INDUSTRIAL,Sol Control,USD,6572.0,ACTIVO,
SC-049,EPSON SURECOLOR P5000 STANDARD EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,2056.49,ACTIVO,
SC-050,EPSON SURECOLOR P7570 STANDARD EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,4616.73,ACTIVO,
SC-051,EPSON SURECOLOR P9570 STANDARD EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,6433.62,ACTIVO,
SC-052,EPSON SURECOLOR P8570D 44 DUAL ROLL,SURECOLOR,INDUSTRIAL,Sol Control,USD,6038.42,ACTIVO,
SC-053,SURECOLOR P6570E SINGLE ROLL 24,SURECOLOR,INDUSTRIAL,Sol Control,USD,3711.41,ACTIVO,
SC-054,SURECOLOR P6570DE DUAL ROLL 24,SURECOLOR,INDUSTRIAL,Sol Control,USD,4525.04,ACTIVO,
SC-055,SURECOLOR P6570D DUAL ROLL 24 PS,SURECOLOR,INDUSTRIAL,Sol Control,USD,5145.53,ACTIVO,
SC-056,EPSON SURECOLOR P20000 STANDARD EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,11921.63,ACTIVO,
SC-057,EPSON SURECOLOR P8570DL 44 INK BAGS PS,SURECOLOR,INDUSTRIAL,Sol Control,USD,8265.99,ACTIVO,
SC-058,SURECOLOR S40600 PRODUCTION EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,8390.0,ACTIVO,
SC-059,SURE COLOR S60600L BULK INK SYSTEM,SURECOLOR,INDUSTRIAL,Sol Control,USD,21979.96,ACTIVO,
