Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
IMP EPSON L 15150 MULTIFUNCION/FAX WIR/RED/A3,SC-013,Sol Control,COMERCIAL,1049.0,USD,23.0
IMP EPSON L 8050 FOTOGRAFICA/CD WIR,SC-014,Sol Control,COMERCIAL,390.0,USD,23.0
IMP EPSON L8180 MULTIFUNCION A3 WIR,SC-015,Sol Control,COMERCIAL,920.0,USD,23.0
ACCESORIOS BROTHER PRCF3 MARCO DE TAPA DE 60MM/PL,SC-016,Sol Control,ACCESORIOS,399.0,USD,23.0
BASTIDOR BROTHER PRH100 10X10CM,SC-017,Sol Control,ACCESORIOS,33.25,USD,23.0
BASTIDOR BROTHER PRH180 18X13CM,SC-018,Sol Control,ACCESORIOS,33.25,USD,23.0
BASTIDOR BROTHER PRH300 20X30CM,SC-019,Sol Control,ACCESORIOS,47.5,USD,23.0
BASTIDOR BROTHER PRH60 6X4CM,SC-020,Sol Control,ACCESORIOS,23.75,USD,23.0
BORDADORA BROTHER BP1530LPA 26 X 16CM,SC-021,Sol Control,COMERCIAL,1155.0,USD,23.0
BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10,SC-022,Sol Control,COMERCIAL,630.0,USD,23.0
BORDADORA BROTHER PE910LPA 18 X 13CM,SC-023,Sol Control,COMERCIAL,775.0,USD,23.0
BORDADORA BROTHER PR680WPA 30 X 20CM COMBO,SC-024,Sol Control,COMBO COMERCIAL,7145.9,GS,23.0
BORDADORA BROTHER PR680WPA 30 X 20CM NORMAL,SC-025,Sol Control,COMERCIAL,6294.0,USD,23.0
MAQUINA DE COSER BROTHER BM2800PA,SC-026,Sol Control,COMERCIAL,170.05,USD,23.0
MAQUINA DE COSER BROTHER BM3850PA,SC-027,Sol Control,COMERCIAL,224.2,USD,23.0
MAQUINA DE COSER BROTHER JS2135PA MECANICA FAMILIA,SC-028,Sol Control,COMERCIAL,145.36,USD,23.0
MAQUINA DE COSER BROTHER SQ9100PA,SC-029,Sol Control,COMERCIAL,350.55,USD,23.0
OVERLOCK BROTHER 3534DTPA,SC-030,Sol Control,COMERCIAL,360.5,USD,23.0
SOFTWARE BROTHER PEDESIGN11L,SC-031,Sol Control,ACCESORIOS,711.55,USD,23.0
TAPETE BROTHER CADXMATF12 P/ CORTE DE TELA 12X12,SC-032,Sol Control,ACCESORIOS,25.65,USD,23.0
TAPETE BROTHER CADXMATLOW12 12X12 BAJA ADHERENCIA,SC-033,Sol Control,ACCESORIOS,18.145,USD,23.0
TAPETE BROTHER CADXMATLOW24 30x60 BAJA ADHERENCIA,SC-034,Sol Control,ACCESORIOS,29.735,USD,23.0
TAPETE BROTHER CADXMATSTD12 30x30 STD,SC-035,Sol Control,ACCESORIOS,18.145,USD,23.0
TAPETE BROTHER CADXMATSTD24 30x60 STD,SC-036,Sol Control,ACCESORIOS,29.735,USD,23.0
CUCHILLA BROTHER CADXBLDV1 DE VINILO P/ AUTO,SC-037,Sol Control,ACCESORIOS,11.21,USD,23.0
CUCHILLA DE CORTE AUTO P/ TELA BROTHER CADXBLDQ1,SC-038,Sol Control,ACCESORIOS,12.73,USD,23.0
CUCHILLA DE CORTE AUTO STD BROTHER  CADXBLD1,SC-039,Sol Control,ACCESORIOS,12.73,USD,23.0
RODILLO BROTHER P/ ADHE DE MAT. AL TAPETE (CABRY1),SC-040,Sol Control,ACCESORIOS,15.2,USD,23.0
SCANNCUT BROTHER SDX225PA,SC-041,Sol Control,COMERCIAL,496.375,USD,23.0
SCANCUT SDX125,SC-042,Sol Control,COMERCIAL,358.34,USD,23.0
PRENSA DE CALOR CRICUT TAZA 2008736,SC-043,Sol Control,COMERCIAL,170.05,USD,23.0
PRENSA DE CALOR CRICUT EASYPRESS 2005557,SC-044,Sol Control,COMERCIAL,150.575,USD,23.0
PRENSA DE CALOR CRICUT HAT 2009241,SC-045,Sol Control,COMERCIAL,142.5,USD,23.0
PRENSA DE CALOR CRICUT EASYPRESS 2005553,SC-046,Sol Control,COMERCIAL,128.725,USD,23.0
SURECOLOR P900,SC-047,Sol Control,INDUSTRIAL,1577.0,USD,23.0
IMP EPSON SCF1070SE WIF/RED SURECOLOR,SC-048,Sol Control,INDUSTRIAL,6572.0,USD,23.0
EPSON SURECOLOR P5000 STANDARD EDITION,SC-049,Sol Control,INDUSTRIAL,2056.49,USD,23.0
