ID REF;PROVEEDOR;DESCRIPCIÓN / INSUMO
SC-089;Sol Control;SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK)
SC-090;Sol Control;SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK)
SC-091;Sol Control;KIT INICIACION F6470
SC-092;Sol Control;SURECOLOR F6470 IVA Y KIT
SC-093;Sol Control;F6470 + KIT SIN IVA
SC-094;Sol Control;SURECOLOR F3070 BASE UNIT
SC-095;Sol Control;SURECOLOR F9470 PRODUCTION EDITION
SC-096;Sol Control;SURECOLOR F9470 PRODUCTION EDITION
SC-097;Sol Control;SCF9570PE - F9570 CON IVA
SC-098;Sol Control;SCF9570HPE - F9570H CON IVA
SC-099;Sol Control;SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA
SC-100;Sol Control;SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM
SC-101;Sol Control;SURECOLOR F2270 DIRECT TO GARMENT
SC-102;Sol Control;TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR
SC-103;Sol Control;CAJA F170 DE MANTENIMIENTO
SC-104;Sol Control;CAJA F570 DE MANTENIMIENTO
SC-105;Sol Control;TINTA F170 O F570 DE 140ML COLORES CY,MG,YE (CADA UNO) BOTELLITA
SC-106;Sol Control;ROLLO F570 PAPEL 30 METROS EPSON
SC-107;Sol Control;TINTA EPSON F6200, CON IVA
SC-108;Sol Control;TINTA EPSON F F6370, F9470 (UNA CAJA 6 UNIDADES) CON IVA
SC-109;Sol Control;SCG6070SE - G6070 CON IVA
SC-110;Sol Control;SCF9570PE - F9570 CON IVA PROMO
SC-112;Sol Control;SCF9570PE - F9570 CON IVA
SC-113;Sol Control;SCF9570HPE - F9570H SIN IVA
SC-114;Sol Control;EPSON SURECOLOR F11070
SC-115;Sol Control;EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES
TC-001;Todo Costura;PRENSA TERMICA 60X40
