ID,NOMBRE,PROVEEDOR,LINEA,COSTO,MONEDA
SC-059,SURE COLOR S60600L BULK INK SYSTEM,Sol Control,INDUSTRIAL,21979.96,USD
SC-060,SURE COLOR S80600L BULK INK SYSTEM,Sol Control,INDUSTRIAL,26413.69,USD
SC-061,EPSON SURECOLOR R5070L PRODUCTION EDITION,Sol Control,INDUSTRIAL,24127.91,USD
SC-062,EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL,Sol Control,INDUSTRIAL,22929.0,USD
SC-063,EPSON SURECOLOR V7000 UV FLATBED,Sol Control,INDUSTRIAL,83580.47,USD
SC-064,SC-V7000 LARGE FORMAT INKJET PRINTER,Sol Control,INDUSTRIAL,64356.96,USD
SC-065,HEAD INSTALLATION KIT FOR SC-V7000SERIES,Sol Control,ACCESORIOS,17551.90,USD
SC-066,DOCUMENT PACK FOR SC-V7000 SERIES,Sol Control,INDUSTRIAL,1671.60,USD
SC-067,SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%,Sol Control,COMERCIAL,8303.0,USD
SC-068,SIGNAGE SURECOLOR V1070 A4,Sol Control,COMERCIAL,8000.0,USD
SC-069,SIGNAGE SURECOLOR V2070 A3,Sol Control,COMERCIAL,0.0,USD
SC-070,SURECOLOR T3170,Sol Control,COMERCIAL,894.83,USD
SC-071,SURECOLOR T3170X,Sol Control,COMERCIAL,2098.00,USD
SC-072,SURECOLOR T3170M,Sol Control,COMERCIAL,2109.34,USD
SC-073,SURECOLOR T3770E SINGLE ROLL 24,Sol Control,INDUSTRIAL,3721.52,USD
SC-074,SURECOLOR T3770DE DUAL ROLL 24,Sol Control,INDUSTRIAL,4536.65,USD
SC-075,SURECOLOR T3770D DUAL ROLL 24 PS,Sol Control,INDUSTRIAL,5159.54,USD
SC-076,SURECOLOR T5170,Sol Control,INDUSTRIAL,2405.53,USD
SC-077,SURECOLOR T5170M,Sol Control,INDUSTRIAL,4082.10,USD
SC-078,SURECOLOR T7770D 44,Sol Control,INDUSTRIAL,6422.12,USD
SC-079,SURECOLOR T7770DL 44 INK BAG PS,Sol Control,INDUSTRIAL,9138.32,USD
SC-080,SURECOLOR T5475,Sol Control,INDUSTRIAL,2579.10,USD
SC-081,SURECOLOR T5470M,Sol Control,INDUSTRIAL,4628.0,USD
SC-082,SURECOLOR T5770D 36,Sol Control,INDUSTRIAL,5539.65,USD
SC-083,SURECOLOR T5770DM DUAL ROLL MFP 36,Sol Control,INDUSTRIAL,10189.01,USD
SC-084,"SCT5475SR SURECOLOR 36""",Sol Control,INDUSTRIAL,2632.0,USD
SC-085,SURECOLOR F570,Sol Control,INDUSTRIAL,2055.59,USD
SC-086,SURECOLOR F1070,Sol Control,COMERCIAL,6571.1,USD
SC-087,SURECOLOR F1070 + HORNO DTF A3,Sol Control,COMERCIAL,7046.1,USD
SC-088,SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA,Sol Control,INDUSTRIAL,5900.0,USD
SC-089,SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),Sol Control,INDUSTRIAL,7176.0,USD
SC-090,SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),Sol Control,INDUSTRIAL,7200.09,USD
SC-091,KIT INICIACION F6470,Sol Control,INSUMOS,502.6,USD
SC-092,SURECOLOR F6470 IVA Y KIT,Sol Control,INDUSTRIAL,7702.7,USD
SC-093,F6470 + KIT SIN IVA,Sol Control,INDUSTRIAL,7352.0,USD
SC-094,SURECOLOR F3070 BASE UNIT,Sol Control,INDUSTRIAL,53976.54,USD
SC-095,SURECOLOR F9470 PRODUCTION EDITION,Sol Control,INDUSTRIAL,21090.0,USD
SC-096,SURECOLOR F9470 PRODUCTION EDITION,Sol Control,INDUSTRIAL,24437.16,USD
SC-097,SCF9570PE - F9570 CON IVA,Sol Control,INDUSTRIAL,23674.30,USD
SC-098,SCF9570HPE - F9570H CON IVA,Sol Control,INDUSTRIAL,23691.27,USD
SC-099,SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA,Sol Control,INDUSTRIAL,86881.66,USD
SC-100,SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM,Sol Control,INDUSTRIAL,11507.04,USD
SC-101,SURECOLOR F2270 DIRECT TO GARMENT,Sol Control,INDUSTRIAL,14574.25,USD
SC-102,TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR,Sol Control,INSUMOS,227.05,USD
SC-103,CAJA F170 DE MANTENIMIENTO,Sol Control,INSUMOS,21.0,USD
SC-104,CAJA F570 DE MANTENIMIENTO,Sol Control,INSUMOS,40.0,USD
