Nombre;ID_Ref;Proveedor;Linea;Costo_Compra;Moneda_Costo;Margen_Pct
SURECOLOR S40600 PRODUCTION EDITION;SC-058;Sol Control;INDUSTRIAL;83900;USD;300
SURE COLOR S60600L BULK INK SYSTEM;SC-059;Sol Control;INDUSTRIAL;2197996;USD;300
SURE COLOR S80600L BULK INK SYSTEM;SC-060;Sol Control;INDUSTRIAL;2641369;USD;300
EPSON SURECOLOR R5070L PRODUCTION EDITION;SC-061;Sol Control;INDUSTRIAL;2412791;USD;300
EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL;SC-062;Sol Control;INDUSTRIAL;229290;USD;300
EPSON SURECOLOR V7000 UV FLATBED;SC-063;Sol Control;INDUSTRIAL;8358047;USD;300
SC-V7000 LARGE FORMAT INKJET PRINTER;SC-064;Sol Control;INDUSTRIAL;6435696;USD;300
HEAD INSTALLATION KIT FOR SC-V7000SERIES;SC-065;Sol Control;ACCESORIOS;1755190;USD;300
DOCUMENT PACK FOR SC-V7000 SERIES;SC-066;Sol Control;INDUSTRIAL;167160;USD;300
SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%;SC-067;Sol Control;COMERCIAL;83030;USD;300
SIGNAGE SURECOLOR V1070 A4;SC-068;Sol Control;COMERCIAL;80000;USD;300
SIGNAGE SURECOLOR V2070 A3;SC-069;Sol Control;COMERCIAL;0;USD;300
SURECOLOR T3170;SC-070;Sol Control;COMERCIAL;89483;USD;300
SURECOLOR T3170X;SC-071;Sol Control;COMERCIAL;209800;USD;300
SURECOLOR T3170M;SC-072;Sol Control;COMERCIAL;210934;USD;300
SURECOLOR T3770E SINGLE ROLL 24;SC-073;Sol Control;INDUSTRIAL;372152;USD;300
SURECOLOR T3770DE DUAL ROLL 24;SC-074;Sol Control;INDUSTRIAL;453665;USD;300
SURECOLOR T3770D DUAL ROLL 24 PS;SC-075;Sol Control;INDUSTRIAL;515954;USD;300
SURECOLOR T5170;SC-076;Sol Control;INDUSTRIAL;240553;USD;300
SURECOLOR T5170M;SC-077;Sol Control;INDUSTRIAL;408210;USD;300
SURECOLOR T7770D 44;SC-078;Sol Control;INDUSTRIAL;642212;USD;300
SURECOLOR T7770DL 44 INK BAG PS;SC-079;Sol Control;INDUSTRIAL;913832;USD;300
SURECOLOR T5475;SC-080;Sol Control;INDUSTRIAL;257910;USD;300
SURECOLOR T5470M;SC-081;Sol Control;INDUSTRIAL;46280;USD;300
SURECOLOR T5770D 36;SC-082;Sol Control;INDUSTRIAL;553965;USD;300
SURECOLOR T5770DM DUAL ROLL MFP 36;SC-083;Sol Control;INDUSTRIAL;1018901;USD;300
SURECOLOR T5475;SC-084;Sol Control;INDUSTRIAL;2579;USD;300
SURECOLOR F570;SC-085;Sol Control;INDUSTRIAL;205559;USD;300
SURECOLOR F1070;SC-086;Sol Control;COMERCIAL;65711;USD;300
SURECOLOR F1070 + HORNO DTF A3;SC-087;Sol Control;COMERCIAL;70461;USD;300
SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA;SC-088;Sol Control;INDUSTRIAL;59000;USD;300
