Año;PRODUCTO;CANTIDAD
2021;NB ASUS CI7/15.6 FHD144/16GB/1TBSSD/RTX2060/W10/GA;1
2021;NB HP   CE 14-AX100LA STREAM 4GB/64SSD/W10;1
2021;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;48
2021;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";24
2021;PARLANTE ARG-SP-2801BK WIR NEGRO;2
2021;PARLANTE ARG-SP-2801BL WIR AZUL;6
2021;PARLANTE ARG-SP-4090BK WIR C/SOPORTE;8
2021;PROY VIEWSONIC M1 MINI 120 LUM LED HDMI;1
2021;REP EP WIPER F9370 HEAD CLEANING KIT (C13S210051);7
2021;SERVICIO TECNICO;1
2021;SOPORTE  ARG-AC-0160BK P/CELULAR (AUTO);1
2021;TECLADO LOGIT 920-008673 MK540 COMBO WIR;1
2021;TINTA EP F6070/F6200 T741200 CYAN ULTRACHROME;14
2021;TINTA EP F6070/F6200 T741220 CYAN ULTRACHROME;20
2021;TINTA EP F6070/F6200 T741400 AMARILLO ULTRACHROME;1
2021;TINTA EP F6370 T746C220 CYAN ULTRACHROME;33
2021;TINTA EP F6370 T746C320 MAGENTA ULTRACHROME;18
2021;TINTA EP F6370 T746C420 YELLOW ULTRACHROME;15
2021;TINTA EP F6370 T746C820 NEGRO ULTRACHROME;15
2021;TINTA EP P9000 T699700 KIT DE MANTENIMIENTO TANQUE;13
2021;TINTA EP P9000 T804100 NEGRO ULTRACHROME 700 ML;5
2021;TINTA EP P9000 T804200 CYAN ULTRACHROME 700 ML;4
2021;TINTA EP P9000 T804300 MAGENTA ULTRACHROME 700 ML;3
2021;TINTA EP P9000 T804400 YELLOW ULTRACHROME 700 ML;4
2021;TINTA EP P9000 T804500 CYAN CLARO ULTRACHROME 700;3
2021;TINTA EP P9000 T804600 MAGENTA CLARO ULTRACHROME 7;4
2021;TINTA EP P9000 T804700 NEGRO CLARO ULTRACHROME 700;4
2021;TINTA EP P9000 T804800 NEGRO MATE ULTRACHROME 700;1
2021;TINTA EP P9000 T804A00 NARANJA ULTRACHROME 700 ML;3
2021;TINTA EP P9000 T804B00 VERDE ULTRACHROME 700 ML;2
2021;TINTA EP P9000 T804D00 VIOLETA ULTRACHROME 700 ML;2
2021;TINTA EP T40W120 NEGRO ULTRACHROME (T3170);2
2021;TINTA EP T40W220 CYAN ULTRACHROME (T3170);3
2021;TINTA EP T40W320 MAGENTA ULTRACHROME (T3170);4
2021;TINTA EP T40W420 AMARILLO ULTRACHROME (T3170);4
2021;TINTA EP T49F020 F571 ULTRACHROME FLUO PINK 140ML;3
2021;TINTA EP T49F920 F571 ULTRACHROME FLUO YELOW 140ML;3
2021;TINTA EP T49M120 F570 ULTRACHROME NEGRO 140ML;23
2021;TINTA EP T49M220 F570 ULTRACHROME CYAN 140ML;21
2021;TINTA EP T49M320 F570 ULTRACHROME MAGENTA 140ML;19
2021;TINTA EP T49M420 F570 ULTRACHROME YELLOW 140ML;19
2021;TINTA EP T694100 NEGRO 700ML (T5270DR);1
2021;TINTA EP T694200 CYAN 700ML (T5270DR);1
2021;TINTA EP T694400 YELLOW 700ML (T5270DR);1
2021;TINTA EP T694500 NEGRO MATTE 700ML (T5270DR);1
2021;TINTA EP T725100 NEGRO 725 (F2100WE);2
2021;TINTA EP T725200 CYAN 725 (F2100WE);2
2021;TINTA EP T725300 MAGENTA 725 (F2100WE);1
2021;TINTA EP T725400 AMARILLO 725 (F2100WE);1
2021;TINTA EP T725A00 BLANCO 725 (F2100WE);26
2021;TINTA EP T736000 CARTUCHO DE LIMPIEZA (F2100WE);2
2021;TINTA EP T890100 NEGRO (S40600PE);2
2021;TINTA EP T890200 CYAN (S40600PE);2
2021;TINTA EP T890300 MAGENTA (S40600PE);3
2021;TINTA EP T890400 AMARILLO (S40600PE);4
2021;UPS APS POWER     650 V.A.  VISTA;1
2022;*TINTA EP F6070/F6200 T741400 AMARILLO ULTRACHROME;20
2022;IMP EPSON  L 120 SF;21
2022;IMP EPSON  L 121 SFP;53
2022;IMP EPSON  L 1250 SF WIR;2
2022;IMP EPSON  L 3210 MULTIFUNCION;6
2022;IMP EPSON PLOTER SCF6370PE STANDARD EDITION;6
2022;IMP EPSON PLOTER SURECOLOR SCF9370PS PROD. SYSTEM;2
2022;IMP EPSON SURECOLOR F170 A4;31
2022;IMP EPSON SURECOLOR F570;2
2022;KIT DE LIMPIEZA DE CABEZAL C13S210063(F6370/F9370);11
2022;KIT DE MANTENIMIENTO C13S210125 SC-F170;31
2022;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);18
2022;LAMPARA ARG-LP-9011WT P/MESA LED;2
2022;NB ASUS CE 4020/X515MA-BQ466T/15.6/4GB/128/W10;1
2022;NB ASUS CE E510MA-BR718W/15.6/4GB/128/W11;1
2022;PAPEL EPSON DS TRANSFER - PRODUCTION  64” x 650’;3
2022;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";9
2022;PARLANTE ARG-SP-2803RD BT ROJO;5
2022;PARLANTE ARG-SP-3045BK BT;2
2022;PARLANTE ARG-SP-3365BK BT WIR AMBIENCE NEGRO;1
2022;PROMO EPSON F571 + TINTAS FLUO;1
